,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
342,Romeo Langford,72,45,Boston Celtics,G,1999-10-25,1.93,98.0,3458400,USA,2019,1,14,Indiana
343,Grant Williams,72,12,Boston Celtics,F,1998-11-30,1.98,107.0,2379840,USA,2019,1,22,Tennessee
344,Nicolas Claxton,72,0,Brooklyn Nets,C,1990-04-17,2.11,97.5,898310,USA,2019,2,31,Georgia
345,PJ Washington,72,25,Charlotte Hornets,F,1998-08-23,2.01,102.1,3831840,USA,2019,1,12,Kentucky
346,Ryan Arcidiacono,72,51,Chicago Bulls,G,1994-03-26,1.91,88.5,3000000,Italy,2016,Undrafted,Undrafted,Villanova
347,Kevin Porter,72,4,Cleveland Cavaliers,G-F,2000-05-04,1.93,98.9,1290960,USA,2019,1,30,USC
348,Ryan Broekhoff,72,0,Philadelphia 76ers,F,1990-08-23,1.98,97.5,2833704,Australia,2013,Undrafted,Undrafted,Valparaiso
350,De'Anthony Melton,72,0,Memphis Grizzlies,G,1998-05-28,1.88,86.2,1416852,USA,2018,2,46,USC
351,Kenrich Williams,72,34,New Orleans Pelicans,G-F,1994-12-02,1.98,95.3,1416852,USA,2018,Undrafted,Undrafted,TCU
352,Nickeil Alexander-Walker,72,0,New Orleans Pelicans,G,1998-09-02,1.96,93.0,2964840,Canada,2019,1,17,Virginia Tech
354,Matisse Thybulle,72,22,Philadelphia 76ers,G-F,1997-03-04,1.96,91.2,2582160,USA,2019,1,20,Washington
355,Cameron Johnson,72,23,Phoenix Suns,F,1996-03-03,2.03,95.3,4033440,USA,2019,1,11,North Carolina
356,Ty Jerome,72,10,Phoenix Suns,G,1997-07-08,1.96,88.5,2193480,USA,2019,1,24,Virginia
358,Keldon Johnson,72,3,San Antonio Spurs,F,1999-10-11,1.96,95.7,1950600,USA,2019,1,29,Kentucky
359,Matt Thomas,72,21,Toronto Raptors,G,1994-08-04,1.93,89.4,898310,USA,2017,Undrafted,Undrafted,Iowa State
